Household_UUID,region_zone_woreda,Crop Name,Quantity (kg),Lon,Lat,Area (Normalized),Year
010101088801601002,tigray_1_1,Maize,35.0,37.890876313,14.353816185,,2013
010101088801601002,tigray_1_1,Red Pepper,20.0,37.890876313,14.353816185,376208.79296875,2013
010101088801601002,tigray_1_1,Sorghum,1000.0,37.890876313,14.353816185,,2013
010101088801601002,tigray_1_1,Red Pepper,20.0,37.890876313,14.353816185,412912.08984375,2013
010101088801601002,tigray_1_1,Millet,200.0,37.890876313,14.353816185,,2013
010101088801601002,tigray_1_1,Sorghum,200.0,37.890876313,14.353816185,,2013
010101088801601002,tigray_1_1,Sorghum,500.0,37.890876313,14.353816185,,2013
010101088801601002,tigray_1_1,Sesame,28.0,37.890876313,14.353816185,,2013
010101088801601017,tigray_1_1,Maize,35.0,37.890876313,14.353816185,,2013
010101088801601017,tigray_1_1,Red Pepper,,37.890876313,14.353816185,165164.8359375,2013
010101088801601017,tigray_1_1,Sorghum,600.0,37.890876313,14.353816185,,2013
010101088801601017,tigray_1_1,Millet,100.0,37.890876313,14.353816185,,2013
010101088801601017,tigray_1_1,Sorghum,700.0,37.890876313,14.353816185,,2013
010101088801601017,tigray_1_1,Sorghum,750.0,37.890876313,14.353816185,,2013
010101088801601017,tigray_1_1,Sesame,10.0,37.890876313,14.353816185,,2013
010101088801601034,tigray_1_1,Maize,,37.890876313,14.353816185,61609.10546875,2013
010101088801601049,tigray_1_1,Maize,10.0,37.890876313,14.353816185,104866.5625,2013
010101088801601064,tigray_1_1,Maize,,37.890876313,14.353816185,,2013
010101088801601080,tigray_1_1,Sorghum,,37.890876313,14.353816185,,2013
010101088801601087,tigray_1_1,Sorghum,300.0,37.890876313,14.353816185,,2013
010101088801601087,tigray_1_1,Sesame,100.0,37.890876313,14.353816185,,2013
010101088801601087,tigray_1_1,Millet,200.0,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Maize,,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Sorghum,300.0,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Sorghum,300.0,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Red Pepper,40.0,37.890876313,14.353816185,26216.640625,2013
010101088801601101,tigray_1_1,Millet,100.0,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Sesame,,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Sesame,,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Sorghum,800.0,37.890876313,14.353816185,,2013
010101088801601101,tigray_1_1,Sesame,,37.890876313,14.353816185,,2013
010101088801601116,tigray_1_1,Sorghum,500.0,37.890876313,14.353816185,,2013
010101088801601116,tigray_1_1,Millet,100.0,37.890876313,14.353816185,,2013
010101088801601116,tigray_1_1,Red Pepper,50.0,37.890876313,14.353816185,229395.60546875,2013
010101088801601116,tigray_1_1,Millet,,37.890876313,14.353816185,77339.08984375,2013
010101088801601116,tigray_1_1,Sorghum,600.0,37.890876313,14.353816185,,2013
010101088801601116,tigray_1_1,Lettuce,,37.890876313,14.353816185,60298.2734375,2013
010101088801601131,tigray_1_1,Sorghum,300.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Red Pepper,30.0,37.890876313,14.353816185,212354.7890625,2013
010101088801601131,tigray_1_1,Maize,100.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Red Pepper,30.0,37.890876313,14.353816185,78649.921875,2013
010101088801601131,tigray_1_1,Sorghum,600.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Sorghum,100.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Millet,200.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Millet,300.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Sorghum,100.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Millet,60.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Sesame,25.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Sesame,20.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Sorghum,500.0,37.890876313,14.353816185,,2013
010101088801601131,tigray_1_1,Sesame,25.0,37.890876313,14.353816185,,2013
010102088801403001,tigray_1_2,Maize,300.0,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Maize,300.0,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Red Pepper,25.0,38.210251919,14.2885896726,207168.82202148438,2013
010102088801403001,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Barley,7.0,38.210251919,14.2885896726,46838.16845703125,2013
010102088801403001,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403001,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403011,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403011,tigray_1_2,Red Pepper,,38.210251919,14.2885896726,219779.09814453125,2013
010102088801403011,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403011,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403011,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403011,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403016,tigray_1_2,Maize,200.0,38.210251919,14.2885896726,,2013
010102088801403016,tigray_1_2,Maize,200.0,38.210251919,14.2885896726,,2013
010102088801403016,tigray_1_2,Red Pepper,3.0,38.210251919,14.2885896726,124301.29321289062,2013
010102088801403016,tigray_1_2,Millet,150.0,38.210251919,14.2885896726,,2013
010102088801403016,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403016,tigray_1_2,Barley,5.0,38.210251919,14.2885896726,221580.56616210938,2013
010102088801403016,tigray_1_2,Teff,150.0,38.210251919,14.2885896726,,2013
010102088801403016,tigray_1_2,Millet,100.0,38.210251919,14.2885896726,,2013
010102088801403016,tigray_1_2,Chick Peas,150.0,38.210251919,14.2885896726,,2013
010102088801403026,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403026,tigray_1_2,Red Pepper,2.130000114440918,38.210251919,14.2885896726,34227.892333984375,2013
010102088801403026,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Red Pepper,2.130000114440918,38.210251919,14.2885896726,210771.75805664062,2013
010102088801403031,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Chick Peas,,38.210251919,14.2885896726,,2013
010102088801403031,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Maize,100.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Maize,50.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Maize,50.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Red Pepper,2.130000114440918,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Garlic,0.8799999952316284,38.210251919,14.2885896726,43235.232421875,2013
010102088801403036,tigray_1_2,Barley,,38.210251919,14.2885896726,88271.93286132812,2013
010102088801403036,tigray_1_2,Gesho,3.0,38.210251919,14.2885896726,14411.744140625,2013
010102088801403036,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Nueg,,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Teff,100.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Teff,100.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Lineseed,100.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Sorghum,200.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Sorghum,400.0,38.210251919,14.2885896726,,2013
010102088801403036,tigray_1_2,Barley,,38.210251919,14.2885896726,52242.572509765625,2013
010102088801403046,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Red Pepper,7.0,38.210251919,14.2885896726,30624.956298828125,2013
010102088801403046,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403046,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Barley,16.13599967956543,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Red Pepper,2.130000114440918,38.210251919,14.2885896726,158529.185546875,2013
010102088801403061,tigray_1_2,Lemons,,38.210251919,14.2885896726,172940.9296875,2013
010102088801403061,tigray_1_2,Lemons,,38.210251919,14.2885896726,48639.636474609375,2013
010102088801403061,tigray_1_2,Gesho,7.0,38.210251919,14.2885896726,48639.636474609375,2013
010102088801403061,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Teff,,38.210251919,14.2885896726,,2013
010102088801403061,tigray_1_2,Millet,,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Maize,400.0,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Red Pepper,5.0,38.210251919,14.2885896726,39632.29638671875,2013
010102088801403091,tigray_1_2,Teff,100.0,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Teff,25.0,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Millet,300.0,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Millet,2.0,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Teff,100.0,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Teff,100.0,38.210251919,14.2885896726,,2013
010102088801403091,tigray_1_2,Millet,400.0,38.210251919,14.2885896726,,2013
010102088801403106,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403106,tigray_1_2,Maize,,38.210251919,14.2885896726,,2013
010102088801403106,tigray_1_2,Red Pepper,7.0,38.210251919,14.2885896726,75661.65673828125,2013
010102088801403106,tigray_1_2,Millet,3.0,38.210251919,14.2885896726,,2013
