Household_UUID,region_zone_woreda,Crop Name,Quantity (kg),Lon,Lat,Area (Normalized),Year
010101088801601002,tigray_1_1,Maize,5.25599992275238,37.890876313,14.353816185,,2015
010101088801601002,tigray_1_1,Red Pepper,2.0,37.890876313,14.353816185,10486.65625,2015
010101088801601002,tigray_1_1,Sorghum,350.0,37.890876313,14.353816185,,2015
010101088801601017,tigray_1_1,Maize,13.139999806880951,37.890876313,14.353816185,,2015
010101088801601017,tigray_1_1,Red Pepper,2.6399999856948853,37.890876313,14.353816185,,2015
010101088801601017,tigray_1_1,Millet,14.40000057220459,37.890876313,14.353816185,,2015
010101088801601017,tigray_1_1,Sorghum,1600.0,37.890876313,14.353816185,,2015
010101088801601017,tigray_1_1,Sesame,100.0,37.890876313,14.353816185,,2015
010101088801601017,tigray_1_1,Sorghum,1400.0,37.890876313,14.353816185,,2015
010101088801601049,tigray_1_1,Maize,1.7519999742507935,37.890876313,14.353816185,,2015
010101088801601064,tigray_1_1,Maize,8.759999871253967,37.890876313,14.353816185,83893.25,2015
010101088801601080,tigray_1_1,Sesame,1.5,37.890876313,14.353816185,,2015
010101088801601080,tigray_1_1,Maize,5.0,37.890876313,14.353816185,,2015
010101088801601087,tigray_1_1,Maize,37.92000102996826,37.890876313,14.353816185,,2015
010101088801601101,tigray_1_1,Maize,40.0,37.890876313,14.353816185,,2015
010101088801601101,tigray_1_1,Sorghum,1200.0,37.890876313,14.353816185,,2015
010101088801601101,tigray_1_1,Millet,200.0,37.890876313,14.353816185,,2015
010101088801601101,tigray_1_1,Red Pepper,29.17300033569336,37.890876313,14.353816185,,2015
010101088801601101,tigray_1_1,Sorghum,40.0,37.890876313,14.353816185,,2015
010101088801601101,tigray_1_1,Sorghum,150.0,37.890876313,14.353816185,,2015
010101088801601101,tigray_1_1,Sesame,300.0,37.890876313,14.353816185,,2015
010101088801601116,tigray_1_1,Maize,17.519999742507935,37.890876313,14.353816185,393249.609375,2015
010101088801601116,tigray_1_1,Sorghum,300.0,37.890876313,14.353816185,,2015
010101088801601116,tigray_1_1,Red Pepper,16.85099983215332,37.890876313,14.353816185,,2015
010101088801601116,tigray_1_1,Sesame,7.54800009727478,37.890876313,14.353816185,,2015
010101088801601116,tigray_1_1,Millet,100.0,37.890876313,14.353816185,,2015
010101088801601116,tigray_1_1,Millet,21.600000858306885,37.890876313,14.353816185,,2015
010101088801601116,tigray_1_1,Sesame,5.328000068664551,37.890876313,14.353816185,,2015
010101088801601131,tigray_1_1,Sorghum,1500.0,37.890876313,14.353816185,,2015
010101088801601131,tigray_1_1,Maize,100.0,37.890876313,14.353816185,,2015
010101088801601131,tigray_1_1,Red Pepper,130.27200317382812,37.890876313,14.353816185,,2015
010101088801601131,tigray_1_1,Red Pepper,65.13600158691406,37.890876313,14.353816185,79960.75390625,2015
010101088801601131,tigray_1_1,Millet,300.0,37.890876313,14.353816185,,2015
010101088801601131,tigray_1_1,Sorghum,400.0,37.890876313,14.353816185,,2015
010101088801601131,tigray_1_1,Millet,300.0,37.890876313,14.353816185,,2015
010101088801601131,tigray_1_1,Sorghum,400.0,37.890876313,14.353816185,,2015
010101088801601146,tigray_1_1,Maize,40.0,37.890876313,14.353816185,,2015
